0.000000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan;-nan
0.001000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.002000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.003000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.004000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.005000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.006000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.007000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.008000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.009000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.010000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.011000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.012000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.013000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.014000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.015000;1000.000625;10.000375;10.000375;10.000375;10.000375;10.000375;100.037468;11.000416;11.000416;20.000075;10.000374;8.000075;9.000062;9.000037;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.016000;1000.000628;10.000377;10.000377;10.000377;10.000377;10.000377;100.037650;11.000418;11.000418;20.000075;10.000376;8.000075;9.000000;9.000000;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.017000;1000.000637;10.000382;10.000382;10.000382;10.000382;10.000382;100.038179;11.000424;11.000424;20.000076;10.000382;8.000076;9.000337;9.000562;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.018000;1000.000646;10.000387;10.000387;10.000387;10.000387;10.000387;100.038713;11.000430;11.000430;20.000077;10.000387;8.000077;9.001350;9.002250;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.019000;1000.000654;10.000393;10.000393;10.000393;10.000393;10.000393;100.039250;11.000436;11.000436;20.000078;10.000392;8.000078;9.003037;9.005062;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.020000;1000.000664;10.000398;10.000398;10.000398;10.000398;10.000398;100.039791;11.000442;11.000442;20.000079;10.000398;8.000079;9.005400;9.009000;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.021000;1000.000673;10.000403;10.000403;10.000403;10.000403;10.000403;100.040335;11.000448;11.000448;20.000080;10.000403;8.000080;9.008437;9.014062;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.022000;1000.000682;10.000409;10.000409;10.000409;10.000409;10.000409;100.040883;11.000454;11.000454;20.000081;10.000409;8.000081;9.012150;9.020250;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.023000;1000.000691;10.000414;10.000414;10.000414;10.000414;10.000414;100.041435;11.000460;11.000460;20.000083;10.000414;8.000083;9.016537;9.027562;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.024000;1000.000700;10.000420;10.000420;10.000420;10.000420;10.000420;100.041991;11.000467;11.000467;20.000084;10.000420;8.000084;9.021600;9.036000;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.025000;1000.000710;10.000426;10.000426;10.000426;10.000426;10.000426;100.042550;11.000473;11.000473;20.000085;10.000425;8.000085;9.027337;9.045562;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.026000;1000.000719;10.000431;10.000431;10.000431;10.000431;10.000431;100.043113;11.000479;11.000479;20.000086;10.000431;8.000086;9.033750;9.056249;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.027000;1000.000728;10.000437;10.000437;10.000437;10.000437;10.000437;100.043679;11.000485;11.000485;20.000087;10.000437;8.000087;9.040837;9.068062;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.028000;1000.000738;10.000443;10.000443;10.000443;10.000443;10.000443;100.044250;11.000492;11.000492;20.000088;10.000442;8.000088;9.048600;9.080999;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.029000;1000.000747;10.000448;10.000448;10.000448;10.000448;10.000448;100.044824;11.000498;11.000498;20.000089;10.000448;8.000089;9.057037;9.095062;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.030000;1000.000757;10.000454;10.000454;10.000454;10.000454;10.000454;100.045402;11.000505;11.000505;20.000090;10.000454;8.000090;9.066150;9.110249;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.031000;1000.000767;10.000460;10.000460;10.000460;10.000460;10.000460;100.045983;11.000511;11.000511;20.000092;10.000460;8.000092;9.075937;9.126562;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.032000;1000.000776;10.000466;10.000466;10.000466;10.000466;10.000466;100.046568;11.000518;11.000518;20.000093;10.000465;8.000093;9.086399;9.143999;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.033000;1000.000786;10.000472;10.000472;10.000472;10.000472;10.000472;100.047157;11.000524;11.000524;20.000094;10.000471;8.000094;9.097537;9.162562;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.034000;1000.000796;10.000478;10.000478;10.000478;10.000478;10.000478;100.047750;11.000531;11.000531;20.000095;10.000477;8.000095;9.109349;9.182249;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.035000;1000.000806;10.000484;10.000484;10.000484;10.000484;10.000484;100.048346;11.000537;11.000537;20.000096;10.000483;8.000096;9.121837;9.203061;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.036000;1000.000816;10.000490;10.000490;10.000490;10.000490;10.000490;100.048946;11.000544;11.000544;20.000098;10.000489;8.000098;9.134999;9.224999;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.037000;1000.000826;10.000496;10.000496;10.000496;10.000496;10.000496;100.049549;11.000551;11.000551;20.000099;10.000495;8.000099;9.148837;9.248061;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.038000;1000.000837;10.000503;10.000503;10.000503;10.000503;10.000503;100.050228;11.000518;11.000518;20.000100;10.000503;8.000100;9.163349;9.272249;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.039000;1000.000850;10.000484;10.000484;10.000484;10.000484;10.000484;100.051145;11.000436;11.000436;20.000103;10.000518;8.000103;9.178537;9.297561;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.040000;1000.000867;10.000400;10.000400;10.000400;10.000400;10.000400;100.052417;11.000360;11.000360;20.000109;10.000541;8.000108;9.194399;9.323999;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.041000;1000.000884;10.000324;10.000324;10.000324;10.000324;10.000324;100.053706;11.000292;11.000292;20.000114;10.000564;8.000113;9.210937;9.351561;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.042000;1000.000902;10.000256;10.000256;10.000256;10.000256;10.000256;100.055013;11.000230;11.000230;20.000119;10.000587;8.000118;9.228149;9.380249;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.043000;1000.000921;10.000196;10.000196;10.000196;10.000196;10.000196;100.056338;11.000176;11.000176;20.000123;10.000610;8.000123;9.246037;9.410061;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.044000;1000.000940;10.000144;10.000144;10.000144;10.000144;10.000144;100.057680;11.000130;11.000130;20.000128;10.000632;8.000127;9.264599;9.440998;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.045000;1000.001063;10.000100;10.000100;10.000100;10.000100;10.000100;100.065349;11.000090;11.000090;20.078136;10.000725;8.000146;9.283836;9.473061;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.046000;1000.001280;10.000064;10.000064;10.000064;10.000064;10.000064;100.078590;11.000058;11.000058;20.612532;10.000879;8.000178;9.303749;9.506248;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
0.047000;1000.001518;10.000036;10.000036;10.000036;10.000036;10.000036;100.093056;11.000032;11.000032;21.653178;10.001046;8.000211;9.324336;9.540560;30.000000;1000.002955;10.810000;11.000000;10.360000;10.010000;10.010000;100.177484;11.001970;11.001970;20.000354;10.001772;8.000354;9.000296;9.000177;30.000000
