0.100000;0.162006;0.126086
0.100000;0.249526;0.170917
0.100000;0.294288;0.136156
0.100000;0.259306;0.117431
0.100000;0.240587;0.096317
0.100000;0.219459;0.100018
0.100000;0.223189;0.092473
0.100000;0.215628;0.096912
0.100000;0.220082;0.165409
0.100000;0.288752;0.129402
0.100000;0.252547;0.118669
0.100000;0.241835;0.120632
0.100000;0.243814;0.176855
0.100000;0.300317;0.105901
0.100000;0.228994;0.120367
0.100000;0.243563;0.096372
0.100000;0.219510;0.159564
0.100000;0.282866;0.109334
0.100000;0.232450;0.118150
0.100000;0.241337;0.095186
0.100000;0.218324;0.141445
0.100000;0.264690;0.132779
0.100000;0.255956;0.102770
0.100000;0.225905;0.133878
0.100000;0.257100;0.139782
0.100000;0.262981;0.135008
0.100000;0.258191;0.084880
0.100000;0.207983;0.073216
0.100000;0.196355;0.115478
0.100000;0.238702;0.100876
0.100000;0.224028;0.116996
0.100000;0.240192;0.105110
0.100000;0.228267;0.112957
0.100000;0.236141;0.146295
0.100000;0.269531;0.178587
0.100000;0.302050;0.104194
0.100000;0.227281;0.097123
0.100000;0.220281;0.118618
0.100000;0.241820;0.155396
0.100000;0.278654;0.131050
0.100000;0.254208;0.135485
0.100000;0.258679;0.146596
0.100000;0.269808;0.180672
0.100000;0.304237;0.149263
0.100000;0.272432;0.142601
0.100000;0.265788;0.126461
0.100000;0.249626;0.097972
0.100000;0.221106;0.158474
0.100000;0.281768;0.142560
0.100000;0.265736;0.133122
0.200000;0.256299;0.120396
0.200000;0.243561;0.086418
0.200000;0.209540;0.142586
0.200000;0.265844;0.091220
0.200000;0.214325;0.103511
0.200000;0.226694;0.158865
0.200000;0.282155;0.099352
0.200000;0.222453;0.125548
0.200000;0.248759;0.103333
0.200000;0.226477;0.103842
0.200000;0.227012;0.093267
0.200000;0.216419;0.168103
0.200000;0.291478;0.120757
0.200000;0.243884;0.122262
0.200000;0.245444;0.143606
0.200000;0.266826;0.118006
0.200000;0.241155;0.151471
0.200000;0.274715;0.113853
0.200000;0.236987;0.144506
0.200000;0.267737;0.100833
0.200000;0.223952;0.160040
0.200000;0.283339;0.131103
0.200000;0.254256;0.163575
0.200000;0.286866;0.124734
0.200000;0.247873;0.141746
0.200000;0.264958;0.109491
0.200000;0.232628;0.145065
0.200000;0.268302;0.101032
0.200000;0.224151;0.112674
0.200000;0.235862;0.098888
0.200000;0.222039;0.132769
0.200000;0.255993;0.137944
0.200000;0.261140;0.128662
0.200000;0.251836;0.131434
0.200000;0.254623;0.115339
0.200000;0.238498;0.154288
0.200000;0.277544;0.172152
0.200000;0.295507;0.142918
